processed_text,label,original_text
anything decide lor,0,"Anything lor... U decide...
"
anything decided go hello hows im saturday see tomo trying youd,0,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
"
abiola go great pls sure wanted weekend,0,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
"
crave forget love need sweet tell want,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
"
call camcorder delivery free mobile msg nokia please reply sm tomorrow tried,1,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
"
seeing,0,"WHO ARE YOU SEEING?
"
great hope like ltgt man well,0,"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
"
call,0,"No calls..messages..missed calls
"
didnt get,0,"Didn't you get hep b immunisation in nigeria.
"
anything enough going,0,"Fair enough, anything going on?
"
around ask bit cant could maybe yeah,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit
"
didnt dont even go hospital im know mark telling want,0,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
"
class first saw time,0,"What you thinked about me. First time you saw me in class.
"
almost get half like ltgt run second though whole,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
"
early he morning place tomorrow tonight,0,"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
"
always best could didnt dont give happy im never room since sorry thought wow,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
"
correct end new play reply sm,1,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
"
find know yesterday,0,"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
"
call cinema congrats dont etc free miss pas pm special year,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
"
call ill later meeting sorry,0,"Sorry, I'll call later in meeting.
"
reached tell,0,"Tell where you reached
"
,0,"Yes..gauti and sehwag out of odi series.
"
cant even gon home move na pain pick way,0,"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
"
girl good ha joke situation,0,"Ha ha ha good joke. Girls are situation seekers.
"
checking part,0,"Its a part of checking IQ
"
come forever ok roommate sorry took,0,"Sorry my roommates took forever, it ok if I come by now?
"
already check cut da double hair lar look nice ok said short wif,0,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
"
awarded bonus call customer mob prize valued,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
"
day first frnds rply send song today ur,0,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
"
awarded claim complimentary dis trip txt ur urgent,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
"
come hear new stuff,1,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!
"
end give month,0,"I plane to give on this month end.
"
hee lucky man money save,0,"Wah lucky man... Then can save money... Hee...
"
class finished,0,"Finished class where are you.
"
babe hi home im na something wan xx,0,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
"
,0,"K..k:)where are you?how did you performed?
"
call,0,"U can call me now...
"
call free waiting,0,"I am waiting machan. Call me once you free.
"
cool thats treat,0,"Thats cool. i am a gentleman and will treat you with dignity and respect.
"
like much pa people,0,"I like you peoples very much:) but am very shy pa.
"
ltgt,0,"Does not operate after  &lt;#&gt;  or what
"
job looking much still ta,0,"Its not the same here. Still looking for a job. How much do Ta's earn there.
"
call ill later sorry,0,"Sorry, I'll call later
"
ah call,0,"K. Did you call me just now ah? 
"
hi home ok way,0,"Ok i am on the way to home hi hi
"
man place,0,"You will be in the place of that man
"
next stop yup,0,"Yup next stop.
"
call dont later network sm,0,"I call you later, don't have network. If urgnt, sms me.
"
already done getting im need one real ticket used yo,0,"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
"
back bed came cash double got im make pain request send started ta yes,0,"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
"
babe im really still tonight,0,"I'm really not up to it still tonight babe
"
come download free ur wen,0,"Ela kano.,il download, come wen ur free..
"
catch close dont something tho yeah youll,0,"Yeah do! Don‘t stand to close tho- you‘ll catch something!
"
afternoon another done havent late mean meet night ok pain sorry time,0,"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
"
hurt like love pain rain see smile smiling someone still,0,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
"
ampm call cash customer guaranteed please prize representative service,1,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
"
afternoon already buy check finish got havent later planning show work,0,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
"
box free get po ringtone text waiting,1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
"
abt watching,0,"Watching telugu movie..wat abt u?
"
finish load loan pay see,0,"i see. When we finish we have loads of loans to pay
"
bit cause forgot get hi home need ok prob run shower wk yes,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
"
cup see,0,"I see a cup of coffee animation
"
anymore dont else nothing please say text,0,"Please don't text me anymore. I have nothing else to say.
"
long name okay pick price ur wen xx,0,"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
"
buy car driving gone im looking still test yet,0,"I'm still looking for a car to buy. And have not gone 4the driving test yet.
"
caller callertune copy friend per press request set,0,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
"
didnt gave guess mean men page right say search something still wow youre,0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.
"
dear life lot love,0,"Umma my life and vava umma love you lot dear
"
birthday lot making thanks wish,0,"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
"
aight cash get hit ill,0,"Aight, I'll hit you up when I get some cash
"
address computer isnt test would,0,"How would my ip address test that considering my computer isn't a minecraft server
"
always better joke know like mom old one people play,0,"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
"
busy dont guess he worry,0,"Dont worry. I guess he's busy.
"
,0,"What is the plural of the noun research?
"
going,0,"Going for dinner.msg you after.
"
co dun im like mah new ok said thing try wif,0,"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
"
call claim code contact draw guaranteed hr last ppm prize show trying valid weekend,1,"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
"
anyway fine happened im juz much special ur,0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?
"
apartment askd bday bos entered felt happy invited lunch pa said special went,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
"
claim flight holiday inc live operator pmin receive selected speak specially winner,1,"You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
"
friday must speak yes,0,"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
"
buy food he pls school uncle,0,"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
"
account bonus call claim code expires identifier point private show statement unredeemed,1,"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
"
awarded bonus call caller contact final landline mobile ppm prize try urgent,1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM
"
address new,0,"here is my new address -apples&pairs&all that malarky
"
award call claim code ending match number please rate receive selected today,1,"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
"
done going mu today,0,"I am going to sao mu today. Will be done only at 12 
"
buying finish time wat,0,"Ü predict wat time ü'll finish buying?
"
good stuff,0,"Good stuff, will do.
"
anything dont first money place sending sent text yet,0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.
"
room,0,"Are you there in room.
"
bak call del girl give hey hope long time well,0,"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
"
cost much,0,"K..k:)how much does it cost?
"
home im,0,"I'm home.
"
call dear,0,"Dear, will call Tmorrow.pls accomodate.
"
answer first question,0,"First answer my question.
"
know player quiz sony sunshine top txt win wkly,1,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
"
bt direct dogging get join mob network nt real sent tonight txting uk ur want,1,"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
"
haf,0,"I only haf msn. It's yijue@hotmail.com
"
call meet,0,"He is there. You call and meet him
"
check room,0,"No no. I will check all rooms befor activities
"
age chat free get go msg must network nothing service text try youll yr,1,"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
"
forgot got lazy lect like nice saw type,0,"Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
"
text way youre,0,"K, text me when you're on the way
"
mail sir waiting,0,"Sir, Waiting for your mail.
"
get gud heart little lovable ni part person thing thought tired,0,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8
"
back know open pls,0,"I know you are. Can you pls open the back?
"
see ya yes,0,"Yes see ya not on the dot
"
class name taking whats,0,"Whats the staff name who is taking class for us?
"
end freemsg havent hear im live ltd luv msg per reply sexy stop text,1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end
"
call check hard life pls,0,"Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
"
contact,0,"K..i deleted my contact that why?
"
got job,0,"Sindu got job in birla soft ..
"
im wine,0,"The wine is flowing and i'm i have nevering..
"
better co go mah need thk yup,0,"Yup i thk cine is better cos no need 2 go down 2 plaza mah.
"
ok reply ur,0,"Ok... Ur typical reply...
"
caller callertune copy friend per press request set,0,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
"
come done dream even guess half ill joy like lot must one open rain see show thing time tv without world,0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.
"
work,0,"Aaooooright are you at work?
"
house im leaving,0,"I'm leaving my house now...
"
boy get good happy hello love missing think today,0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?
"
call customer delivery new please service waiting year,1,"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
"
cash claim flight holiday inc live operator receive selected speak specially winner,1,"You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
"
already everyone keep life miss need real safe see,0,"Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
"
car hand house job new,0,"New car and house for my parents.:)i have only new job in hand:)
"
day happy im love make spend,0,"I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
"
friend frnd pls reply see send stop yes,1,"-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
"
content download mobile msg order receive service tv ur wap way,1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu
"
already place point ur,0,"I place all ur points on e cultures module already.
"
call claim code contact draw guaranteed hr last prize show trying urgent valid weekend,1,"URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
"
best frnd hi one way wit,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?
"
fancy great need see tomo,0,"Great escape. I fancy the bridge but needs her lager. See you tomo 
"
also completely yes,0,"Yes :)it completely in out of form:)clark also utter waste.
"
account address bank need sir,0,"Sir, I need AXIS BANK account no and bank address.
"
abt ard call free go got hmmm liao muz sure thk time ya,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... 
"
coming later time,0,"What time you coming down later? 
"
believe cant forgot give hell ill mr,0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... 
"
bath finish gon im na night well,0,"Well, i'm gonna finish my bath now. Have a good...fine night.
"
call carlos got know let make money youve,0,"Let me know when you've got the money so carlos can make the call
"
going still,0,"U still going to the mall?
"
back feel free friend go ltgt show smoke staying til turn whole wont worth,0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth
"
doesnt know let log reply text,0,"Text her. If she doesnt reply let me know so i can have her log in
"
free hi know like reply wed yes,0,"Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
"
end especially gr hope hurt money month need offer studying weekend,0,"You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
"
lol trust,0,"Lol no. U can trust me.
"
ok treat,0,"ok. I am a gentleman and will treat you with dignity and respect.
"
close guy,0,"He will, you guys close?
"
going nothing,0,"Going on nothing great.bye
"
back boytoy getting hello job lazy miss wheres working,0,"Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
"
awesome haha minute,0,"Haha awesome, be there in a minute
"
ampm call cash customer freephone guaranteed please prize representative service,1,"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
"
get got time xmas,0,"Have you got Xmas radio times. If not i will get it now
"
bathe finish first go home jus reached si tell using,0,"I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
"
enough find th,1,"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
"
cost deal dont even friend great im ive keep mean people sorry time touch week,0,"I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
"
course finally hi,0,"Hi :)finally i completed the course:)
"
able every give someone stay stop,0,"It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
"
day gr hope new school year youve,0,"How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
"
day dear gud hav mrng nice,0,"Gud mrng dear hav a nice day
"
got person story,0,"Did u got that persons story
"
hey meet mrt orchard pm tmr,0,"is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
"
back bit evening hi hope kate see tomorrow txt xxx,0,"Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
"
found ltgt,0,"Found it, ENC  &lt;#&gt; , where you at?
"
ltgt sent,0,"I sent you  &lt;#&gt;  bucks
"
college darlin finish finished hello ive kate love txt xxx,0,"Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
"
account id ltdecimalgt ltgt,0,"Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
"
goodmorning sleeping,0,"Goodmorning sleeping ga.
"
call ok,0,"U call me alter at 11 ok.
"
buy dat dun lar like oredi oso say,0,"Ü say until like dat i dun buy ericsson oso cannot oredi lar...
"
apartment askd bday bos entered felt happy invited lunch pa said special went,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
"
aight dat yo,0,"Aight yo, dats straight dogg
"
bill give ltdecimalgt please today,0,"You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
"
big get load ready,0,"Both :) i shoot big loads so get ready!
"
break great hope semester whats,0,"What's up bruv, hope you had a great break. Do have a rewarding semester.
"
always chat home,0,"Home so we can always chat
"
well,0,"K:)k:)good:)study well.
"
leh noe yup,0,"Yup... How ü noe leh...
"
great home sound,0,"Sounds great! Are you home now?
"
draw finally match,0,"Finally the match heading towards draw as your prediction.
"
havent night slept tired well,0,"Tired. I haven't slept well the past few nights.
"
easy good got mean selected,0,"Easy ah?sen got selected means its good..
"
exam march take,0,"I have to take exam with march 3
"
anyway help know let ready sure there think use yeah,0,"Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
"
ok prob take time ur,0,"Ok no prob. Take ur time.
"
called copy give hard important run shop use without,0,"There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
"
call ill later sorry,0,"Sorry, I'll call later
"
bit course happen jus lar leh lor nice nite nothing say thk,0,"U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
"
collect go mobile must new nokia optout txt,1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
"
call need really someone talk would,0,"Would really appreciate if you call me. Just need someone to talk to.
"
dream find free meet soon start txt ur,1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES
"
company hey po,0,"Hey company elama po mudyadhu.
"
amp bcoz exam first happy lesson life morning teach,0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
"
dear good morning,0,"Dear good morning now only i am up
"
cut first get ltgt right road side street turn walk,0,"Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
"
dear going place,0,"Dear we are going to our rubber place
"
im sorry yeah,0,"Sorry battery died, yeah I'm here
"
always available place tv work,0,"Yes:)here tv is always available in work place..
"
age date eg even find join meet msg name reply sexy someone text today,1,"Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
"
come ltgt oh,0,"I have printed it oh. So  &lt;#&gt;  come upstairs
"
bus ill like little stop street,0,"Or ill be a little closer like at the bus stop on the same street
"
reach wil,0,"Where are you?when wil you reach here?
"
always amp correct dont friend im kick new person say situation ur win,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
"
admirer contact looking make rreveal secret specialcall think ufind ur,1,"U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
"
cant case final laptop,0,"Tomarrow final hearing on my laptop case so i cant.
"
done tel,0,"PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
"
better meant okay sound,0,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.
"
co dat done everything face fr gave im like really thanx today told uve watch,0,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...
"
dont old remember,0,"U don't remember that old commercial?
"
didnt dont late said,0,"Too late. I said i have the website. I didn't i have or dont have the slippers
"
asked call ok,0,"I asked you to call him now ok
"
nd wont,0,"Kallis wont bat in 2nd innings.
"
didnt good ill missed night oh ok ready sleep time wake work,0,"It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
"
awarded cd congratulation draw entry free gift guaranteed music txt ur voucher wkly,1,"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
"
hold min,0,"Ranjith cal drpd Deeraj and deepak 5min hold
"
angry care coz da day deep dnt lovable luv nice seriously take true ur way wen wid,0,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
"
,0,"What you doing?how are you?
"
also company day get may stuff take way week,0,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.
"
back im know lem ready youre,0,"I'm back, lemme know when you're ready
"
back done dont get im though,0,"Don't necessarily expect it to be done before you get back though because I'm just now headin out
"
babe nice,0,"Mmm so yummy babe ... Nice jolt to the suzy
"
lover need,0,"Where are you lover ? I need you ...
"
anytime call camcorder contact min network offer reply text tried unlimited video,1,"We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
"
coming im next think today,0,"I‘m parked next to a MINI!!!! When are you coming in today do you think?
"
yup,0,"Yup
"
anyway co disturb done dun going im liao shopping si yet,0,"Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
"
around ring ur,0,"MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
"
charged chat hey hot pm really see stop text unsubscribe want,1,"Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
"
come,0,"Why you Dint come with us.
"
plan trip wana,0,"Same. Wana plan a trip sometme then
"
get hold still sure trying yet,0,"Not sure yet, still trying to get a hold of him
"
box choose club content credit free go po ringtone service stop txt ur,1,"Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
"
download,0,"The evo. I just had to download flash. Jealous?
"
charge choose club free get message mobile ringtone single top uk week,1,"Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
"
come mu situation,0,"Come to mu, we're sorting out our narcotics situation
"
another blue come day leaf like may morning night smile special way worry,0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.
"
